cohort,specimen,drug_class,n_empiric,n_exposed,n_unexposed,failure_exposed_pct,failure_unexposed_pct,risk_diff_pp,p_value,significant
MIMIC-IV,All,FQ,8525,1666,6859,61.9,26.2,35.7,0.0,True
MIMIC-IV,All,Ceph3,13283,2958,10325,16.7,5.1,11.6,0.0,True
MIMIC-IV,All,Carb,1928,791,1137,15.5,6.2,9.3,0.0,True
MIMIC-IV,All,Glyco,9629,3563,6066,23.5,5.1,18.5,0.0,True
MIMIC-IV,All,ESP,4083,995,3088,53.5,30.9,22.6,0.0,True
MIMIC-IV,All,Amino,651,194,457,8.2,4.6,3.7,0.097759,False
MIMIC-IV,Blood,FQ,1068,237,831,71.3,30.4,40.9,0.0,True
MIMIC-IV,Blood,Ceph3,2034,443,1591,17.6,6.5,11.1,0.0,True
MIMIC-IV,Blood,Carb,364,140,224,10.7,4.0,6.7,0.022165,True
MIMIC-IV,Blood,Glyco,3513,1240,2273,19.4,3.4,15.9,0.0,True
MIMIC-IV,Blood,ESP,1145,255,890,56.1,30.6,25.5,0.0,True
MIMIC-IV,Blood,Amino,144,23,121,13.0,6.6,6.4,0.383024,False
MIMIC-IV,Urine,FQ,4561,679,3882,62.6,25.3,37.3,0.0,True
MIMIC-IV,Urine,Ceph3,8589,1575,7014,16.3,4.6,11.7,0.0,True
MIMIC-IV,Urine,Carb,805,312,493,7.4,2.2,5.1,0.000799,True
MIMIC-IV,Urine,Glyco,1160,400,760,70.8,16.8,53.9,0.0,True
MIMIC-IV,Urine,ESP,1544,294,1250,58.5,35.3,23.2,0.0,True
MIMIC-IV,Urine,Amino,152,32,120,15.6,4.2,11.5,0.054628,False
MIMIC-IV,Respiratory,FQ,705,211,494,52.6,27.7,24.9,0.0,True
MIMIC-IV,Respiratory,Ceph3,1319,557,762,17.4,8.4,9.0,1e-06,True
MIMIC-IV,Respiratory,Carb,370,180,190,28.9,18.4,10.5,0.024419,True
MIMIC-IV,Respiratory,Glyco,716,346,370,0.0,0.0,0.0,,False
MIMIC-IV,Respiratory,ESP,298,115,183,44.3,30.1,14.3,0.01709,True
MIMIC-IV,Respiratory,Amino,162,84,78,2.4,2.6,-0.2,1.0,False
MGB,All,FQ,5361,1005,4356,59.9,36.4,23.5,0.0,True
MGB,All,Ceph3,25710,5980,19730,14.0,4.5,9.5,0.0,True
MGB,All,Carb,2664,928,1736,10.6,5.4,5.2,1e-06,True
MGB,All,Glyco,3535,1012,2523,20.0,5.4,14.6,0.0,True
MGB,All,ESP,4282,1013,3269,28.0,24.4,3.6,0.023958,True
MGB,All,Amino,751,86,665,3.5,2.7,0.8,0.723851,False
MGB,Blood,FQ,698,162,536,64.8,37.1,27.7,0.0,True
MGB,Blood,Ceph3,4348,1105,3243,15.1,4.3,10.8,0.0,True
MGB,Blood,Carb,687,205,482,9.3,3.7,5.5,0.005863,True
MGB,Blood,Glyco,2297,601,1696,21.3,4.5,16.8,0.0,True
MGB,Blood,ESP,1397,286,1111,31.5,22.5,9.0,0.002113,True
MGB,Blood,Amino,215,13,202,7.7,3.5,4.2,0.398032,False
MGB,Urine,FQ,4013,649,3364,58.9,36.8,22.1,0.0,True
MGB,Urine,Ceph3,18284,3548,14736,12.0,4.0,8.0,0.0,True
MGB,Urine,Carb,1411,498,913,4.6,2.2,2.4,0.017622,True
MGB,Urine,Glyco,475,136,339,50.0,16.5,33.5,0.0,True
MGB,Urine,ESP,2217,507,1710,25.2,26.5,-1.2,0.615517,False
MGB,Urine,Amino,370,25,345,4.0,0.9,3.1,0.244985,False
MGB,Respiratory,FQ,650,194,456,59.3,32.9,26.4,0.0,True
MGB,Respiratory,Ceph3,3078,1327,1751,18.4,8.6,9.8,0.0,True
MGB,Respiratory,Carb,566,225,341,24.9,16.1,8.8,0.013874,True
MGB,Respiratory,Glyco,763,275,488,2.2,0.6,1.6,0.077869,False
MGB,Respiratory,ESP,668,220,448,30.0,21.4,8.6,0.019641,True
MGB,Respiratory,Amino,166,48,118,2.1,6.8,-4.7,0.449427,False
Stanford,All,FQ,10085,1673,8412,36.5,16.5,20.0,0.0,True
Stanford,All,Ceph3,1402,74,1328,10.8,6.6,4.3,0.237481,False
Stanford,All,Carb,46,6,40,0.0,2.5,-2.5,1.0,False
Stanford,All,Glyco,1171,171,1000,8.8,2.3,6.5,2.9e-05,True
Stanford,All,ESP,3834,108,3726,17.6,6.6,11.0,2.4e-05,True
Stanford,All,Amino,459,162,297,8.6,5.4,3.3,0.249869,False
Stanford,Blood,FQ,783,204,579,50.5,26.9,23.5,0.0,True
Stanford,Blood,Ceph3,274,16,258,6.2,4.7,1.6,0.550859,False
Stanford,Blood,Glyco,997,145,852,4.1,1.4,2.7,0.051825,False
Stanford,Blood,ESP,2382,75,2307,17.3,5.8,11.6,0.000111,True
Stanford,Blood,Amino,134,56,78,21.4,12.8,8.6,0.275577,False
Stanford,Urine,FQ,8285,1152,7133,31.1,14.6,16.5,0.0,True
Stanford,Urine,Ceph3,1076,55,1021,10.9,6.7,4.2,0.34751,False
Stanford,Urine,Carb,31,5,26,0.0,0.0,0.0,,False
Stanford,Urine,Glyco,98,17,81,52.9,12.3,40.6,0.000445,True
Stanford,Urine,ESP,1124,24,1100,20.8,6.8,14.0,0.025061,True
