cohort,specimen,drug_class,n_empiric,n_exposed,n_unexposed,failure_exposed_pct,failure_unexposed_pct,risk_diff_pp,p_value,significant
MIMIC-IV,All,FQ,8525,1666,6859,61.9,26.2,35.7,0.0,True
MIMIC-IV,All,Ceph3,13283,2958,10325,16.7,5.1,11.6,0.0,True
MIMIC-IV,All,Carb,1928,791,1137,15.5,6.2,9.3,0.0,True
MIMIC-IV,All,Glyco,9629,3563,6066,23.5,5.1,18.5,0.0,True
MIMIC-IV,All,ESP,4083,995,3088,53.5,30.9,22.6,0.0,True
MIMIC-IV,All,Amino,651,194,457,8.2,4.6,3.7,0.097759,False
MGB,All,FQ,5361,1005,4356,59.9,36.4,23.5,0.0,True
MGB,All,Ceph3,25710,5980,19730,14.0,4.5,9.5,0.0,True
MGB,All,Carb,2664,928,1736,10.6,5.4,5.2,1e-06,True
MGB,All,Glyco,3535,1012,2523,20.0,5.4,14.6,0.0,True
MGB,All,ESP,4282,1013,3269,28.0,24.4,3.6,0.023958,True
MGB,All,Amino,751,86,665,3.5,2.7,0.8,0.723851,False
Stanford,All,FQ,10085,1673,8412,36.5,16.5,20.0,0.0,True
Stanford,All,Ceph3,1402,74,1328,10.8,6.6,4.3,0.237481,False
Stanford,All,Carb,46,6,40,0.0,2.5,-2.5,1.0,False
Stanford,All,Glyco,1171,171,1000,8.8,2.3,6.5,2.9e-05,True
Stanford,All,ESP,3834,108,3726,17.6,6.6,11.0,2.4e-05,True
Stanford,All,Amino,459,162,297,8.6,5.4,3.3,0.249869,False
