cohort,sensitivity,drug_class,specimen,n_empiric,n_exposed,n_unexposed,failure_exposed_pct,failure_unexposed_pct,risk_diff_pp,p_value,significant
MIMIC-IV,First culture only,FQ,Blood,361,36,325,77.8,23.7,54.1,0.0,True
MIMIC-IV,First culture only,FQ,Urine,2290,118,2172,65.3,21.9,43.3,0.0,True
MIMIC-IV,First culture only,FQ,All,3557,249,3308,63.1,22.6,40.5,0.0,True
MIMIC-IV,First culture only,Ceph3,Blood,652,42,610,11.9,4.4,7.5,0.071738,False
MIMIC-IV,First culture only,Ceph3,Urine,3249,142,3107,12.7,3.5,9.1,0.0,True
MIMIC-IV,First culture only,Ceph3,All,4601,259,4342,14.3,4.1,10.2,0.0,True
MIMIC-IV,First culture only,Carb,All,182,10,172,10.0,7.6,2.4,0.560365,False
MIMIC-IV,First culture only,Glyco,Blood,753,80,673,26.2,3.4,22.8,0.0,True
MIMIC-IV,First culture only,Glyco,Urine,320,35,285,45.7,12.3,33.4,1e-06,True
MIMIC-IV,First culture only,Glyco,All,2207,282,1925,19.9,4.0,15.9,0.0,True
MIMIC-IV,First culture only,ESP,Blood,401,34,367,32.4,29.2,3.2,0.845607,False
MIMIC-IV,First culture only,ESP,Urine,442,22,420,50.0,29.8,20.2,0.077072,False
MIMIC-IV,First culture only,ESP,All,1288,121,1167,43.8,27.4,16.4,0.000237,True
MIMIC-IV,First culture only,Amino,All,115,9,106,0.0,3.8,-3.8,1.0,False
