theta,theta_pp,ci_lo,ci_hi,se,p_value,n,n_treated,boot_n,cohort,t_col,y_col,label,naive_pp,method,p_val,ps_mean_treated,ps_mean_control,overlap_ok,sw_max
0.1472355443951357,14.723554439513578,14.035355951766782,15.411752927260377,0.0035112812948361,0.0,145445,24096,1000.0,MGB,T_fq_90d,Y_fq_resistant,FQ,18.898301442448712,DML,,,,,
0.0551698700651816,5.516987006518166,5.001804572893573,6.0321694401427575,0.0026285301040645,8.289742830523245e-98,120126,40225,1000.0,MGB,T_ceph3_90d,Y_ceph3_resistant,Ceph3,10.892459841676825,DML,,,,,
0.0526695005197369,5.266950051973697,4.474101368571795,6.059798735375598,0.0040452206757664,9.394943082283643e-39,108508,7620,1000.0,MGB,T_carb_90d,Y_carb_resistant,Carb/CRE,11.472881442709996,DML,,,,,
0.0479166627108879,4.791666271088796,4.272481986689449,5.310850555488143,0.0026489480852434,3.8950762576074016e-73,41836,16989,1000.0,MGB,T_glyco_90d,Y_glyco_resistant,Glyco/VRE,8.196485405508955,DML,,,,,
0.1588990696002607,15.889906960026073,15.072591028301437,16.707222891750707,0.0041700558692482,0.0,135525,12973,1000.0,MGB,T_sulfa_90d,Y_sulfa_resistant,Sulfa,18.950430747200013,DML,,,,,
0.0391140477901163,3.911404779011639,3.336255491612998,4.48655406641028,0.0029344890617141,1.568136373438384e-40,113827,15144,1000.0,MGB,T_esp_90d,Y_esp_resistant,ESP,8.536189109248143,DML,,,,,
0.0330863212399197,3.3086321239919774,1.8350339922654064,4.782230255718548,0.0075184959690592,1.0792365207914482e-05,142622,2199,1000.0,MGB,T_amino_90d,Y_amino_resistant,Amino,8.537995688897837,DML,,,,,
0.1647375529951323,16.473755299513233,15.496202828169164,17.451307770857298,0.0049876042572969,3.074843254797902e-239,113099,11035,1000.0,Stanford,T_fq_90d,Y_fq_resistant,FQ,23.45405075756548,DML,,,,,
0.0872971099487333,8.729710994873336,6.866762212274099,10.592659777472576,0.0095050153844353,4.141326981265979e-20,78984,2111,1000.0,Stanford,T_ceph3_90d,Y_ceph3_resistant,Ceph3,11.441728811785223,DML,,,,,
0.0587309870177776,5.873098701777764,2.9322423716414185,8.813955031914109,0.0150046447451761,9.07092779549057e-05,66930,385,1000.0,Stanford,T_carb_90d,Y_carb_resistant,Carb/CRE,8.032607560746413,DML,,,,,
0.0641931540418587,6.419315404185874,4.227946816562255,8.610683991809493,0.0111806574248754,9.38708397789184e-09,23748,903,1000.0,Stanford,T_glyco_90d,Y_glyco_resistant,Glyco/VRE,9.753510040581151,DML,,,,,
