cohort,specimen,drug_class,n_empiric,n_exposed,n_unexposed,failure_exposed_pct,failure_unexposed_pct,risk_diff_pp,p_value,significant
MIMIC-IV,Blood,FQ,1068,237,831,71.3,30.4,40.9,0.0,True
MIMIC-IV,Blood,Ceph3,2034,443,1591,17.6,6.5,11.1,0.0,True
MIMIC-IV,Blood,Carb,364,140,224,10.7,4.0,6.7,0.022165,True
MIMIC-IV,Blood,Glyco,3513,1240,2273,19.4,3.4,15.9,0.0,True
MIMIC-IV,Blood,ESP,1145,255,890,56.1,30.6,25.5,0.0,True
MIMIC-IV,Blood,Amino,144,23,121,13.0,6.6,6.4,0.383024,False
MGB,Blood,FQ,698,162,536,64.8,37.1,27.7,0.0,True
MGB,Blood,Ceph3,4348,1105,3243,15.1,4.3,10.8,0.0,True
MGB,Blood,Carb,687,205,482,9.3,3.7,5.5,0.005863,True
MGB,Blood,Glyco,2297,601,1696,21.3,4.5,16.8,0.0,True
MGB,Blood,ESP,1397,286,1111,31.5,22.5,9.0,0.002113,True
MGB,Blood,Amino,215,13,202,7.7,3.5,4.2,0.398032,False
Stanford,Blood,FQ,783,204,579,50.5,26.9,23.5,0.0,True
Stanford,Blood,Ceph3,274,16,258,6.2,4.7,1.6,0.550859,False
Stanford,Blood,Glyco,997,145,852,4.1,1.4,2.7,0.051825,False
Stanford,Blood,ESP,2382,75,2307,17.3,5.8,11.6,0.000111,True
Stanford,Blood,Amino,134,56,78,21.4,12.8,8.6,0.275577,False
