cohort,specimen,drug_class,n_empiric,n_exposed,n_unexposed,failure_exposed_pct,failure_unexposed_pct,risk_diff_pp,p_value,significant
MIMIC-IV,Respiratory,FQ,705,211,494,52.6,27.7,24.9,0.0,True
MIMIC-IV,Respiratory,Ceph3,1319,557,762,17.4,8.4,9.0,1e-06,True
MIMIC-IV,Respiratory,Carb,370,180,190,28.9,18.4,10.5,0.024419,True
MIMIC-IV,Respiratory,Glyco,716,346,370,0.0,0.0,0.0,,False
MIMIC-IV,Respiratory,ESP,298,115,183,44.3,30.1,14.3,0.01709,True
MIMIC-IV,Respiratory,Amino,162,84,78,2.4,2.6,-0.2,1.0,False
MGB,Respiratory,FQ,650,194,456,59.3,32.9,26.4,0.0,True
MGB,Respiratory,Ceph3,3078,1327,1751,18.4,8.6,9.8,0.0,True
MGB,Respiratory,Carb,566,225,341,24.9,16.1,8.8,0.013874,True
MGB,Respiratory,Glyco,763,275,488,2.2,0.6,1.6,0.077869,False
MGB,Respiratory,ESP,668,220,448,30.0,21.4,8.6,0.019641,True
MGB,Respiratory,Amino,166,48,118,2.1,6.8,-4.7,0.449427,False
Stanford,Respiratory,FQ,1017,317,700,47.3,27.4,19.9,0.0,True
Stanford,Respiratory,Glyco,76,9,67,0.0,1.5,-1.5,1.0,False
Stanford,Respiratory,ESP,328,9,319,11.1,12.2,-1.1,1.0,False
Stanford,Respiratory,Amino,80,48,32,0.0,15.6,-15.6,0.008377,True
