cohort,sensitivity,drug_class,specimen,n_empiric,n_exposed,n_unexposed,failure_exposed_pct,failure_unexposed_pct,risk_diff_pp,p_value,significant
MIMIC-IV,Primary (-24h to +48h),FQ,Blood,1068,237,831,71.3,30.4,40.9,0.0,True
MIMIC-IV,Primary (-24h to +48h),FQ,All,8525,1666,6859,61.9,26.2,35.7,0.0,True
MIMIC-IV,Primary (-24h to +48h),Ceph3,Blood,2034,443,1591,17.6,6.5,11.1,0.0,True
MIMIC-IV,Primary (-24h to +48h),Ceph3,All,13283,2958,10325,16.7,5.1,11.6,0.0,True
MIMIC-IV,Primary (-24h to +48h),Carb,Blood,364,140,224,10.7,4.0,6.7,0.022165,True
MIMIC-IV,Primary (-24h to +48h),Carb,All,1928,791,1137,15.5,6.2,9.3,0.0,True
MIMIC-IV,Primary (-24h to +48h),Glyco,Blood,3513,1240,2273,19.4,3.4,15.9,0.0,True
MIMIC-IV,Primary (-24h to +48h),Glyco,All,9629,3563,6066,23.5,5.1,18.5,0.0,True
MIMIC-IV,Primary (-24h to +48h),ESP,Blood,1145,255,890,56.1,30.6,25.5,0.0,True
MIMIC-IV,Primary (-24h to +48h),ESP,All,4083,995,3088,53.5,30.9,22.6,0.0,True
MIMIC-IV,Primary (-24h to +48h),Amino,Blood,144,23,121,13.0,6.6,6.4,0.383024,False
MIMIC-IV,Primary (-24h to +48h),Amino,All,651,194,457,8.2,4.6,3.7,0.097759,False
MIMIC-IV,Strict  (-12h to +24h),FQ,Blood,957,215,742,71.6,28.4,43.2,0.0,True
MIMIC-IV,Strict  (-12h to +24h),FQ,All,6924,1340,5584,63.1,27.1,36.0,0.0,True
MIMIC-IV,Strict  (-12h to +24h),Ceph3,Blood,1818,397,1421,17.4,6.6,10.8,0.0,True
MIMIC-IV,Strict  (-12h to +24h),Ceph3,All,10214,2332,7882,16.6,5.3,11.3,0.0,True
MIMIC-IV,Strict  (-12h to +24h),Carb,Blood,325,126,199,7.9,3.5,4.4,0.136852,False
MIMIC-IV,Strict  (-12h to +24h),Carb,All,1629,652,977,14.1,7.3,6.8,1e-05,True
MIMIC-IV,Strict  (-12h to +24h),Glyco,Blood,2570,894,1676,21.1,3.5,17.7,0.0,True
MIMIC-IV,Strict  (-12h to +24h),Glyco,All,7517,2717,4800,24.3,4.9,19.4,0.0,True
MIMIC-IV,Strict  (-12h to +24h),ESP,Blood,1071,226,845,54.4,31.4,23.1,0.0,True
MIMIC-IV,Strict  (-12h to +24h),ESP,All,3672,870,2802,53.3,32.0,21.3,0.0,True
MIMIC-IV,Strict  (-12h to +24h),Amino,Blood,127,18,109,11.1,3.7,7.4,0.201465,False
MIMIC-IV,Strict  (-12h to +24h),Amino,All,548,146,402,7.5,2.5,5.0,0.01355,True
