cohort,sensitivity,drug_class,specimen,n_empiric,n_exposed,n_unexposed,failure_exposed_pct,failure_unexposed_pct,risk_diff_pp,p_value,significant
MIMIC-IV,3-30d,FQ,Blood,1068,134,934,82.8,33.3,49.5,0.0,True
MIMIC-IV,3-30d,Ceph3,Blood,2034,236,1798,22.9,7.1,15.8,0.0,True
MIMIC-IV,3-30d,Glyco,Blood,3513,822,2691,25.7,4.0,21.7,0.0,True
MIMIC-IV,3-60d,FQ,Blood,1068,202,866,75.7,31.1,44.7,0.0,True
MIMIC-IV,3-60d,Ceph3,Blood,2034,376,1658,18.9,6.6,12.2,0.0,True
MIMIC-IV,3-60d,Glyco,Blood,3513,1077,2436,21.0,3.8,17.2,0.0,True
MIMIC-IV,3-90d (primary),FQ,Blood,1068,237,831,71.3,30.4,40.9,0.0,True
MIMIC-IV,3-90d (primary),Ceph3,Blood,2034,443,1591,17.6,6.5,11.1,0.0,True
MIMIC-IV,3-90d (primary),Glyco,Blood,3513,1240,2273,19.4,3.4,15.9,0.0,True
MIMIC-IV,3-180d,FQ,Blood,1068,301,767,65.4,29.3,36.1,0.0,True
MIMIC-IV,3-180d,Ceph3,Blood,2034,574,1460,16.4,6.0,10.4,0.0,True
MIMIC-IV,3-180d,Glyco,Blood,3513,1435,2078,17.4,3.3,14.1,0.0,True
MIMIC-IV,3-365d,FQ,Blood,1068,357,711,62.5,28.0,34.5,0.0,True
MIMIC-IV,3-365d,Ceph3,Blood,2034,682,1352,14.7,6.0,8.7,0.0,True
MIMIC-IV,3-365d,Glyco,Blood,3513,1624,1889,15.6,3.4,12.1,0.0,True
