cohort,label,theta_pp,rr,evalue
MGB,FQ,14.782224888603437,1.468,2.296
MGB,Ceph3,5.552465896880239,1.434,2.222
MGB,Carb/CRE,5.2721739249311925,2.701,4.844
MGB,Glyco/VRE,4.715896332775203,2.097,3.613
MGB,Sulfa,15.889906960026071,2.471,4.378
MGB,ESP,3.911404779011639,1.602,2.584
MGB,Amino,3.4070193280859855,1.55,2.472
Stanford,FQ,16.485834774230266,1.522,2.413
Stanford,Ceph3,8.729710994873336,1.682,2.753
Stanford,Carb/CRE,5.873098701777764,2.895,5.236
Stanford,Glyco/VRE,6.419315404185874,2.493,4.422
Stanford,Sulfa,3.4613443792036374,1.32,1.971
Stanford,ESP,6.210502096424479,1.955,3.322
Stanford,Amino,7.384024898490048,2.191,3.806
MIMIC-IV,FQ,8.670762275304636,1.274,1.866
MIMIC-IV,Ceph3,3.6366248353453456,1.284,1.888
MIMIC-IV,Carb/CRE,4.571989679224363,2.475,4.385
MIMIC-IV,Glyco/VRE,3.3159833627989923,1.771,2.94
MIMIC-IV,ESP,4.1066855120545265,1.632,2.647
MIMIC-IV,Amino,6.663419706075668,2.075,3.568
