cohort,label,n,n_treated,theta_pp,ci_lo,ci_hi,p_val,se,ps_mean_treated,ps_mean_control,overlap_ok,sw_max
MGB,FQ,145445,24096,14.96,14.129,15.744,0.001,0.395,0.241,0.151,True,2.1
MGB,Ceph3,120126,40225,6.409,5.888,6.952,0.001,0.28,0.548,0.228,True,3.6
MGB,Carb/CRE,108508,7620,5.625,4.824,6.507,0.001,0.424,0.31,0.056,True,1.9
MGB,Glyco/VRE,41836,16989,5.595,5.041,6.161,0.001,0.288,0.517,0.33,True,3.0
MGB,Sulfa,135525,12973,14.208,13.329,15.043,0.001,0.431,0.142,0.091,True,1.8
MGB,ESP,113827,15144,4.297,3.704,4.856,0.001,0.291,0.238,0.117,True,2.8
MGB,Amino,142622,2199,7.516,6.114,8.945,0.001,0.72,0.117,0.017,True,1.2
Stanford,FQ,113099,11035,19.359,18.262,20.449,0.001,0.563,0.171,0.09,True,1.8
Stanford,Ceph3,78984,2111,11.033,9.023,12.969,0.001,1.009,0.056,0.027,True,1.2
Stanford,Carb/CRE,66930,385,8.027,5.084,11.237,0.001,1.605,0.036,0.012,True,1.1
Stanford,Glyco/VRE,23748,903,9.259,6.857,11.722,0.001,1.236,0.104,0.038,True,1.5
Stanford,Sulfa,97995,295,9.493,3.929,14.639,0.001,2.779,0.02,0.011,True,1.0
Stanford,ESP,81727,622,8.438,5.91,10.982,0.001,1.269,0.037,0.014,True,1.1
Stanford,Amino,103104,1134,12.311,9.88,14.987,0.001,1.303,0.055,0.015,True,1.1
MIMIC,FQ,255742,37616,11.367,10.872,11.868,0.001,0.258,0.241,0.131,True,2.0
MIMIC,Ceph3,255742,34903,5.062,4.701,5.425,0.001,0.183,0.224,0.123,True,1.9
MIMIC,Carb/CRE,255742,15902,4.743,4.344,5.132,0.001,0.201,0.149,0.058,True,1.4
MIMIC,Glyco/VRE,255742,65611,3.851,3.653,4.063,0.001,0.105,0.432,0.196,True,3.0
MIMIC,ESP,255742,34627,4.226,3.728,4.702,0.001,0.25,0.239,0.119,True,2.2
MIMIC,Amino,255742,6181,7.847,6.823,8.927,0.001,0.522,0.085,0.025,True,1.2
