cohort,stratum,label,n,n_treated,theta_pp,ci_lo,ci_hi,p_val,se
MGB,Full cohort,FQ,145445,,15.2,14.6,15.9,0.01,
MGB,Full cohort,Ceph3,120126,,5.3,4.8,5.7,0.01,
MGB,Full cohort,Carb/CRE,108508,,5.4,4.6,6.3,0.01,
MGB,Full cohort,Glyco/VRE,41836,,4.6,4.1,5.2,0.01,
MGB,Full cohort,Sulfa,135525,,16.0,15.3,16.7,0.01,
MGB,Full cohort,ESP,113827,,4.1,3.6,4.7,0.01,
MGB,Full cohort,Amino,142622,,4.4,2.9,5.7,0.01,
MGB,Low severity,FQ,18012,,15.3,12.6,18.2,0.01,
MGB,Low severity,Ceph3,16797,,2.3,0.4,3.7,0.01,
MGB,Low severity,Glyco/VRE,2410,,3.1,0.4,6.8,0.02,
MGB,Low severity,Sulfa,17478,,10.7,8.2,13.9,0.01,
MGB,Low severity,ESP,16343,,3.4,1.3,5.5,0.01,
MGB,High severity,FQ,127433,,15.1,14.5,15.8,0.01,
MGB,High severity,Ceph3,103329,,5.4,4.8,5.8,0.01,
MGB,High severity,Carb/CRE,93517,,5.5,4.7,6.3,0.01,
MGB,High severity,Glyco/VRE,39426,,4.6,4.2,5.0,0.01,
MGB,High severity,Sulfa,118047,,16.3,15.3,17.2,0.01,
MGB,High severity,ESP,97484,,4.1,3.4,4.7,0.01,
MGB,High severity,Amino,124834,,4.6,3.4,6.5,0.01,
Stanford,Full cohort,FQ,113099,11035,16.797,15.824,17.769,0.0,0.496
Stanford,Full cohort,Ceph3,78984,2111,8.622,6.765,10.479,0.0,0.947
Stanford,Full cohort,Carb/CRE,66930,385,5.81,2.987,8.634,0.0001,1.441
Stanford,Full cohort,Glyco/VRE,23748,903,7.042,4.857,9.227,0.0,1.115
Stanford,Full cohort,Sulfa,97995,295,5.188,-0.283,10.658,0.0631,2.791
Stanford,Full cohort,ESP,81727,622,6.118,3.678,8.559,0.0,1.245
Stanford,Full cohort,Amino,103104,1134,8.254,5.841,10.668,0.0,1.231
Stanford,Low severity,FQ,23301,524,15.239,11.238,19.24,0.0,2.041
Stanford,High severity,FQ,89798,10511,16.809,15.807,17.811,0.0,0.511
Stanford,High severity,Ceph3,65845,2037,9.032,7.127,10.938,0.0,0.972
Stanford,High severity,Carb/CRE,57063,381,5.759,2.902,8.617,0.0001,1.458
Stanford,High severity,Glyco/VRE,19250,891,6.793,4.606,8.981,0.0,1.116
Stanford,High severity,Sulfa,77082,286,5.382,-0.19,10.954,0.0583,2.843
Stanford,High severity,ESP,65386,611,6.375,3.886,8.864,0.0,1.27
Stanford,High severity,Amino,81679,1078,7.565,5.086,10.043,0.0,1.265
MIMIC,Full cohort,FQ,255742,37616,9.28,8.822,9.737,0.0,0.233
MIMIC,Full cohort,Ceph3,255742,34903,4.128,3.792,4.464,0.0,0.171
MIMIC,Full cohort,Carb/CRE,255742,15902,4.97,4.586,5.354,0.0,0.196
MIMIC,Full cohort,Glyco/VRE,255742,65611,3.785,3.589,3.981,0.0,0.1
MIMIC,Full cohort,ESP,255742,34627,3.867,3.451,4.282,0.0,0.212
MIMIC,Full cohort,Amino,255742,6181,7.023,6.183,7.862,0.0,0.428
MIMIC,Low severity,FQ,36681,541,7.822,4.954,10.689,0.0,1.463
MIMIC,Low severity,Ceph3,36681,454,3.613,1.623,5.603,0.0004,1.015
MIMIC,Low severity,Glyco/VRE,36681,862,2.18,1.145,3.215,0.0,0.528
MIMIC,Low severity,ESP,36681,629,7.321,4.426,10.217,0.0,1.477
MIMIC,Low severity,Amino,36681,167,4.049,0.517,7.581,0.0247,1.802
MIMIC,High severity,FQ,219061,37075,9.299,8.836,9.761,0.0,0.236
MIMIC,High severity,Ceph3,219061,34449,4.153,3.813,4.493,0.0,0.174
MIMIC,High severity,Carb/CRE,219061,15812,5.003,4.617,5.39,0.0,0.197
MIMIC,High severity,Glyco/VRE,219061,64749,3.818,3.619,4.018,0.0,0.102
MIMIC,High severity,ESP,219061,33998,3.78,3.36,4.199,0.0,0.214
MIMIC,High severity,Amino,219061,6014,7.131,6.271,7.991,0.0,0.439
