cohort,label,n,n_treated,theta_pp,ci_lo,ci_hi,p_val,se
MGB,FQ,145445,24096,14.694674275849891,14.002075928512914,15.38727262318687,0.0,0.3533665037433562
MGB,Ceph3,120126,40225,4.96676217131935,4.448206905119913,5.485317437518787,1.2633451098175974e-78,0.2645690133670596
MGB,Carb/CRE,108508,7620,4.7444445956177494,3.9684405166353938,5.520448674600105,4.35679052686085e-33,0.39592044846038543
MGB,Glyco/VRE,41836,16989,4.585692327926941,4.06104872571942,5.110335930134462,8.679553517068905e-66,0.2676753072487352
MGB,Sulfa,135525,12973,14.782654884217056,13.96673833618099,15.598571432253122,3.4044390747219593e-276,0.4162839530796255
MGB,ESP,113827,15144,3.6318811692039557,3.060581741123353,4.203180597284558,1.2346430711810777e-35,0.2914793000411239
MGB,Amino,142622,2199,3.513628646840719,2.0461485030891122,4.981108790592326,2.6949560654281906e-06,0.7487143590569423
Stanford,FQ,113099,11035,15.103676912332325,14.128454979460308,16.078898845204343,2.171768554960542e-202,0.4975622106489884
Stanford,Ceph3,78984,2111,7.810472517168067,5.954921914931069,9.666023119405065,1.584285540353088e-16,0.9467094909372437
Stanford,Carb/CRE,66930,385,5.268764838456284,2.4452026556383464,8.09232702127422,0.0002548946754304172,1.440592950417315
Stanford,Glyco/VRE,23748,903,6.392230825982098,4.160925895206318,8.623535756757878,1.966819979032943e-08,1.1384208830488676
Stanford,Sulfa,97995,295,4.051071515403561,-1.426441008218722,9.528584039025843,0.1471827236407397,2.7946492467460624
Stanford,ESP,81727,622,5.423229931109889,2.960640267156645,7.885819595063133,1.5864892643708434e-05,1.2564232979353285
Stanford,Amino,103104,1134,7.326785801188146,4.8357606430021685,9.817810959374123,8.175970200283811e-09,1.2709312031561109
MIMIC,FQ,255742,37616,9.06778136892224,8.602246918650467,9.533315819194014,0.0,0.23751757666927223
MIMIC,Ceph3,255742,34903,3.6223309477291736,3.2868485357203143,3.957813359738033,2.1180717043969043e-99,0.1711644959228874
MIMIC,Carb/CRE,255742,15902,4.791774859530835,4.403735954578121,5.179813764483549,2.068598952595189e-129,0.19797903313913978
MIMIC,Glyco/VRE,255742,65611,3.4629229467394405,3.267953240132733,3.657892653346148,1.6246711161731035e-265,0.09947434010546304
MIMIC,ESP,255742,34627,3.3002787166896095,2.8854849219819734,3.715072511397245,7.956534723167487e-55,0.2116294870957326
MIMIC,Amino,255742,6181,6.354241968358861,5.519814378912269,7.1886695578054525,2.2560519120769164e-50,0.4257283619625468
